Date,Clicks,Impressions,CTR,Position
2026-04-13,0,9,0%,22.8
2026-04-14,0,18,0%,3.4
2026-04-15,2,17,11.76%,4.1
2026-04-16,0,12,0%,6.3
2026-04-17,1,14,7.14%,3.6
2026-04-18,0,6,0%,3.7
2026-04-19,0,5,0%,7.8
2026-04-20,1,8,12.5%,3.5
2026-04-21,1,16,6.25%,4
2026-04-22,0,8,0%,6.8
2026-04-23,1,19,5.26%,2.9
2026-04-24,0,21,0%,3.8
2026-04-25,2,17,11.76%,4.6
2026-04-26,0,20,0%,8.4
2026-04-27,0,21,0%,4.7
2026-04-28,1,20,5%,5.4
2026-04-29,0,18,0%,5.8
2026-04-30,0,19,0%,5.6
2026-05-01,2,20,10%,3.6
2026-05-02,0,9,0%,5.2
2026-05-03,0,10,0%,7.9
