Top pages,Clicks,Impressions,CTR,Position
https://www.dentplant.gr/,4,143,2.8%,5.09
https://www.dentplant.gr/about.html,3,145,2.07%,6.28
https://dentplant.gr/,3,24,12.5%,3.62
http://www.dentplant.gr/,1,130,0.77%,6.23
https://www.dentplant.gr/article-candidate.html,1,3,33.33%,6.67
https://dentplant.gr/booking.html,0,28,0%,14.93
http://dentplant.gr/,0,16,0%,14.62
https://www.dentplant.gr/contact.html,0,12,0%,4.42
https://www.dentplant.gr/article-timeline.html,0,9,0%,6.22
https://www.dentplant.gr/booking.html,0,7,0%,5.29
https://med.dentplant.gr/,0,3,0%,3
https://dentplant.gr/services.html,0,2,0%,3
